,id,popularity,release_date,title,vote_average,vote_count
0,278,36.9269,1994-09-23,The Shawshank Redemption,8.7,29857
1,238,31.9743,1972-03-14,The Godfather,8.687,22541
2,240,15.4289,1974-12-20,The Godfather Part II,8.571,13647
3,424,20.0604,1993-12-15,Schindler's List,8.566,17168
4,389,16.9499,1957-04-10,12 Angry Men,8.555,9794
5,129,18.1347,2001-07-20,Spirited Away,8.534,18019
6,155,40.8598,2008-07-16,The Dark Knight,8.527,35274
7,19404,7.4706,1995-10-20,Dilwale Dulhania Le Jayenge,8.518,4564
8,497,19.2181,1999-12-10,The Green Mile,8.505,18916
9,122,24.4279,2003-12-17,The Lord of the Rings: The Return of the King,8.494,26114
10,496243,22.814,2019-05-30,Parasite,8.493,20221
11,680,20.2156,1994-09-10,Pulp Fiction,8.486,29781
12,372058,18.7485,2016-08-26,Your Name.,8.479,12324
13,157336,50.3921,2014-11-05,Interstellar,8.468,39027
14,429,18.4054,1966-12-23,"The Good, the Bad and the Ugly",8.468,9457
15,13,31.4994,1994-06-23,Forrest Gump,8.5,29329
16,769,21.5977,1990-09-12,GoodFellas,8.452,14079
17,346,7.3614,1954-04-26,Seven Samurai,8.45,4129
18,12477,0.0099,1988-04-16,Grave of the Fireflies,8.444,6385
19,637,11.6701,1997-12-20,Life Is Beautiful,8.44,13825
20,278,36.9269,1994-09-23,The Shawshank Redemption,8.7,29857
21,238,31.9743,1972-03-14,The Godfather,8.687,22541
22,240,15.4289,1974-12-20,The Godfather Part II,8.571,13647
23,424,20.0604,1993-12-15,Schindler's List,8.566,17168
24,389,16.9499,1957-04-10,12 Angry Men,8.555,9794
25,129,18.1347,2001-07-20,Spirited Away,8.534,18019
26,155,40.8598,2008-07-16,The Dark Knight,8.527,35274
27,19404,7.4706,1995-10-20,Dilwale Dulhania Le Jayenge,8.518,4564
28,497,19.2181,1999-12-10,The Green Mile,8.505,18916
29,122,24.4279,2003-12-17,The Lord of the Rings: The Return of the King,8.494,26114
30,496243,22.814,2019-05-30,Parasite,8.493,20221
31,680,20.2156,1994-09-10,Pulp Fiction,8.486,29781
32,372058,18.7485,2016-08-26,Your Name.,8.479,12324
33,157336,50.3921,2014-11-05,Interstellar,8.468,39027
34,429,18.4054,1966-12-23,"The Good, the Bad and the Ugly",8.468,9457
35,13,31.4994,1994-06-23,Forrest Gump,8.5,29329
36,769,21.5977,1990-09-12,GoodFellas,8.452,14079
37,346,7.3614,1954-04-26,Seven Samurai,8.45,4129
38,12477,0.0099,1988-04-16,Grave of the Fireflies,8.444,6385
39,637,11.6701,1997-12-20,Life Is Beautiful,8.44,13825
40,550,27.8732,1999-10-15,Fight Club,8.438,31545
41,14537,3.6991,1962-09-15,Harakiri,8.437,1170
42,120,24.9495,2001-12-18,The Lord of the Rings: The Fellowship of the Ring,8.429,27105
43,598,11.2763,2002-08-30,City of God,8.428,8036
44,11216,8.6291,1988-11-17,Cinema Paradiso,8.424,4741
45,40096,2.3796,2000-09-15,A Dog's Will,8.4,1205
46,667257,1.4434,2021-06-17,Impossible Things,8.421,419
47,539,18.1236,1960-06-22,Psycho,8.415,10839
48,121,17.6118,2002-12-18,The Lord of the Rings: The Two Towers,8.413,23518
49,510,8.349,1975-11-19,One Flew Over the Cuckoo's Nest,8.412,11247
50,255709,4.3591,2013-10-02,Hope,8.397,825
51,696374,2.2768,2020-05-29,Gabriel's Inferno,8.396,2444
52,324857,19.9736,2018-12-06,Spider-Man: Into the Spider-Verse,8.394,16928
53,1891,9.4677,1980-05-20,The Empire Strikes Back,8.391,18129
54,4935,13.285,2004-09-09,Howl's Moving Castle,8.387,10858
55,311,11.3932,1984-05-23,Once Upon a Time in America,8.385,5921
56,378064,7.4555,2016-09-17,A Silent Voice: The Movie,8.4,4378
57,807,29.4982,1995-09-22,Se7en,8.4,22711
58,244786,16.0969,2014-10-10,Whiplash,8.374,16362
59,423,19.0625,2002-09-17,The Pianist,8.374,9958
60,724089,2.8426,2020-07-31,Gabriel's Inferno: Part II,8.371,1536
61,27205,33.9724,2010-07-15,Inception,8.371,38783
62,761053,3.0653,2020-11-19,Gabriel's Inferno: Part III,8.362,1073
63,770156,4.6213,2020-10-19,Lucy Shimmers and the Prince of Peace,8.36,349
64,12493,3.4989,1963-03-01,High and Low,8.3,1088
65,274,4.3592,1991-02-14,The Silence of the Lambs,8.347,17642
66,567,12.2075,1954-08-01,Rear Window,8.342,7038
67,1058694,2.5451,2023-10-19,Radical,8.34,490
68,1218925,21.4518,2025-09-19,Chainsaw Man - The Movie: Reze Arc,8.336,736
69,569094,24.0208,2023-05-31,Spider-Man: Across the Spider-Verse,8.3,8317
70,73,8.4342,1998-07-01,American History X,8.327,12367
71,105,19.1866,1985-07-03,Back to the Future,8.324,21446
72,128,11.5675,1997-07-12,Princess Mononoke,8.3,8807
73,620249,3.5442,2019-08-27,The Legend of Hei,8.3,444
74,1184918,19.236,2024-09-12,The Wild Robot,8.311,5777
75,3782,3.7555,1952-10-09,Ikiru,8.3,1306
76,10494,13.0989,1998-02-28,Perfect Blue,8.302,3080
77,207,11.297,1989-06-02,Dead Poets Society,8.302,12338
78,372754,2.0471,2016-02-20,Dou kyu sei – Classmates,8.3,426
79,820067,2.8195,2022-05-20,The Quintessential Quintuplets Movie,8.3,431
80,533514,2.7952,2020-09-18,Violet Evergarden: The Movie,8.295,491
81,101,35.4013,1994-09-14,Léon: The Professional,8.295,15838
82,42269,1.6608,1974-12-21,We All Loved Each Other So Much,8.3,632
83,644479,1.3211,2019-11-01,Dedicated to my ex,8.3,513
84,914,6.1962,1940-10-15,The Great Dictator,8.284,3632
85,599,11.8322,1950-08-10,Sunset Boulevard,8.282,2869
86,3082,9.4394,1936-02-05,Modern Times,8.281,4008
87,15804,2.3922,1991-07-27,A Brighter Summer Day,8.28,375
88,335,9.7216,1968-12-21,Once Upon a Time in the West,8.28,4791
89,1585,8.7719,1946-12-20,It's a Wonderful Life,8.278,4805
90,1139087,3.822,2023-09-24,Once Upon a Studio,8.274,418
91,652837,3.8756,2020-12-25,"Josee, the Tiger and the Fish",8.27,572
92,77338,16.1204,2011-11-02,The Intouchables,8.27,18198
93,1356039,11.8868,2025-02-27,Counterattack,8.26,793
94,28,17.6219,1979-05-19,Apocalypse Now,8.266,8911
95,18491,13.2959,1997-07-19,Neon Genesis Evangelion: The End of Evangelion,8.261,1797
96,29259,8.6735,1960-03-18,Le Trou,8.261,552
97,975,3.8693,1957-10-25,Paths of Glory,8.257,3211
98,901,10.9812,1931-02-06,City Lights,8.257,2401
99,632632,1.6985,2020-08-22,Given,8.3,413
100,92321,0.0035,2011-09-17,Hotarubi no Mori e,8.254,1203
101,572154,2.6367,2019-06-15,Rascal Does Not Dream of a Dreaming Girl,8.253,576
102,637920,7.9084,2019-10-10,Miracle in Cell No. 7,8.252,4529
103,8587,20.8448,1994-06-15,The Lion King,8.252,19438
104,654299,1.3039,2019-12-24,Out of the Clear Blue Sky,8.25,376
105,10376,3.3864,1998-10-28,The Legend of 1900,8.2,2408
106,630566,3.1882,2020-10-09,Clouds,8.239,1045
107,447362,3.5846,2020-11-27,Life in a Year,8.239,1950
108,670,15.344,2003-11-21,Oldboy,8.239,9621
109,603,30.0884,1999-03-31,The Matrix,8.239,27462
110,299534,15.5144,2019-04-24,Avengers: Endgame,8.236,27325
111,299536,27.3859,2018-04-25,Avengers: Infinity War,8.2,31553
112,504253,4.0633,2018-09-01,I Want to Eat Your Pancreas,8.2,1726
113,508965,7.3811,2019-11-08,Klaus,8.223,4566
114,490132,12.4577,2018-11-16,Green Book,8.223,12634
115,24188,1.2082,1962-12-05,Il Sorpasso,8.222,823
116,98,14.5394,2000-05-04,Gladiator,8.222,20576
117,527641,4.8348,2019-03-14,Five Feet Apart,8.221,5866
118,92060,1.4682,1983-11-14,Michael Jackson's Thriller,8.2,737
119,857,11.9153,1998-07-24,Saving Private Ryan,8.221,16930
120,37257,3.0695,1957-12-17,Witness for the Prosecution,8.219,1627
121,110420,3.227,2012-07-21,Wolf Children,8.2,2436
122,25237,6.8547,1985-10-17,Come and See,8.219,1763
123,568332,1.0629,2018-12-31,Taylor Swift: Reputation Stadium Tour,8.217,423
